"","P16_x100_t72","P16_x100_t48","P16_x100_t3","P16_x100_t24","P16_x100_t168","P14_x100_t72","P14_x100_t48","P14_x100_t3","P14_x100_t24","P14_x100_t168","P13_x50_t72","P13_x50_t48","P13_x50_t3","P13_x50_t24","P13_x50_t168","P10_x50_t72","P10_x50_t48","P10_x50_t3","P10_x50_t24","P10_x50_t168","P09_x50_t72","P09_x50_t48","P09_x50_t3","P09_x50_t24","P09_x50_t168","P08_x100_t72","P08_x100_t48","P08_x100_t24","P08_x100_t168","P04_x50_t72","P04_x50_t48","P04_x50_t3","P04_x50_t24","P04_x50_t168","P03_x100_t72","P03_x100_t48","P03_x100_t3","P03_x100_t24","P03_x100_t168"
"K00014",7.31012364473317,7.43163111826278,8.87349287529928,9.12661898912482,6.59000704848622,6.52129214262562,7.14364121286585,7.74696906315809,7.44445491696189,6.57361949985696,7.29436552848081,7.42131272054776,8.12493230898429,7.4969966349676,7.38058216776956,7.04950583856394,7.60983257363653,8.14965781208967,7.73617788856443,6.97115223201796,6.5669716456142,7.31607451012785,8.16172008038188,7.7204814190987,5.80114936792719,7.11767938647651,7.16690450394881,7.33946498516268,7.00641809964477,6.96819941623968,6.4769433921154,7.96191066995691,8.4814494479384,7.48207527225355,6.81493829772958,7.34504305161843,8.21397776751312,8.1430880555073,6.66453881976615
"K00015",7.86779639136408,8.22379786991006,7.36410511556254,8.62941089207933,7.74446894998531,7.82138009238898,8.10741291374534,7.7917645913932,8.64412949083534,8.49812792683379,8.0412586346039,8.51847499734586,8.19071241866916,7.30198274776043,7.80550988418576,7.6933245093774,8.04216896043529,8.10307015954278,8.33872662312059,6.86193798994418,7.79453599741012,7.97987927443408,7.9389893562112,8.40467434111268,7.16947554055865,8.34569705132716,8.17523914409194,8.94518797802622,8.20496050560628,8.56395193115402,8.60296119884021,7.97895321351255,8.69138545731173,8.28637379643485,8.07162545756733,8.22096324469256,8.33010806285091,8.8034724601149,8.00913627564386
"K00016",6.4496855428955,6.54084395162357,7.23865081785117,10.0506398858037,7.49820222395451,6.08985683459753,7.2463251461209,5.12234875155258,6.66676686292686,7.15783921670199,6.15216615355865,6.5137392399699,6.48674719557109,7.78504910034889,7.1279457149227,6.63971206071435,6.73739395338274,7.06975261036914,7.63423551294989,6.39522358421387,6.28216349894524,6.52292550984614,6.4180837211471,7.13601876072964,6.01679758144356,5.98772828756046,7.18104569658826,8.03829276917086,6.89152527697226,6.88307020022573,6.69976841509716,6.79077601341179,8.60152254323284,6.80487041880253,6.1501787987727,6.91331489957457,7.18564932671836,9.17878896334884,7.3222891752309
"K00018",5.19802238235261,5.30737296525244,4.90662663060572,4.81329216782035,5.4770292815958,6.00746103161177,5.3145567289689,4.9906514569966,5.27849300307619,5.46461523062075,5.08079684777141,5.15088230383291,5.21053666242642,4.06078804477094,5.48592320325073,6.00598817099301,6.28989027991628,5.6351342638496,5.18491630625284,4.91480731001002,4.13199477204425,5.30180732077614,4.38556468401851,5.27582751981086,4.77811448290481,5.41936376527215,5.27287958430299,5.33505358564359,6.44115563922036,4.83326950655112,5.44627029944786,5.14692276582953,4.99538744200859,6.10352234947793,5.51943249380997,5.47897696421041,5.972540599166,5.18201904067301,5.33426595757436
"K00019",9.41944704425154,9.41197383019233,9.2093321155176,12.0382671183062,9.41885614521004,8.96135441273931,9.21871790619171,9.69957920911162,9.59713687601337,9.11670170921462,9.44648066806694,9.26935991325158,9.44196049610559,9.71541449113179,9.23578216975542,8.72004352888532,9.18059464098749,9.44436140898762,9.57303883732161,9.02033133344497,9.20417100026191,9.60158442054838,9.64064821882286,9.47670064052228,9.61086464805472,9.29182147709691,9.70738358989675,9.97007291540983,9.41943851459916,9.29370964395214,9.58147371467136,9.59626825233469,10.4882030313992,9.16139319884928,9.7221195511228,9.64915166646313,9.56085938493131,10.4341022202029,9.10268020535425
"K00020",8.16703157538147,7.81933573756579,8.14372527874644,9.54887575197425,7.97882563698196,7.13026315175674,7.62808983279488,7.92638438101538,7.58573260564173,6.53501370201924,7.88416360700708,7.69227334916599,8.41088114127229,7.23058077190012,7.69155919224693,7.06216048438565,7.28472571035445,8.16485761316007,7.76057054407516,7.19743702002946,8.06312465100268,7.84631057961423,7.85955910541112,7.31986556254595,7.34436631044074,7.78900139984095,7.70523599632749,7.92561536224253,7.85151373995222,7.48991572737012,7.87674266702903,8.07188713333908,8.78836405411316,8.13909318979494,7.6326094398567,7.76505972695878,7.90697411945954,8.41778820838306,7.74842689869711
"K00021",8.13669742639237,7.68592604336872,7.06452804871019,6.2498360416453,7.70140113506402,8.49157516344197,8.10741291374534,7.82662099483763,7.9759555044523,7.45285075895456,7.68305668871444,7.83121384523379,7.16498448552289,7.4969966349676,8.16985157551227,8.177088669607,7.98390490722176,6.75610528422972,7.05068653028184,7.76883573366669,8.11379654580044,7.93306588558019,7.27452806220752,7.78175060648664,8.01909208416877,8.15886525422284,7.60943388491141,7.813383810976,8.55244731457758,8.69985452423725,7.85574923191365,8.03434496408773,7.46888440859955,8.82827489850986,7.98639949701685,8.07419025848072,6.913434417284,7.46440796463671,8.36327720629566
"K00023",11.097125159696,11.1956402366455,9.29023756668493,9.49819305856681,11.0186460375506,10.7666689661857,10.6149579272333,9.36002867120683,10.7282766064468,10.5461678896987,10.9749687280054,11.1188615923483,9.19540953658872,9.92682966081622,10.8737115425022,11.2572988332793,10.9898180211894,9.3851002279704,10.9543908876925,11.0231327111223,10.8326049276358,10.8880977609931,9.23959381004613,9.58067944362726,10.6335537934309,11.0491204334851,10.8901000757864,10.3359160310954,10.8642040600417,10.976688380671,10.9202321029797,9.29943080538239,10.4221747392236,11.0614232803527,11.1725139817029,10.9779861648829,9.14270878175751,10.2219669811684,10.7776691390295
"K00024",11.5177005570803,11.5685335312543,10.5276028891672,11.0720311693878,11.4673656471732,11.5042549516883,11.4815759347357,10.754549309041,11.1852608524817,11.3830918479058,11.908504085527,11.5654919061204,11.0118514086514,11.5622319342651,11.5696354941966,11.6738693397525,11.5567665270964,10.4257467230247,11.0976865707052,11.3657532686748,11.4826359300066,11.4767317243606,10.8659103995735,11.0411933678219,11.4641270826259,11.4380844476515,11.3678970275928,11.1187331105025,11.5227385420882,11.4115251360685,11.3903243709112,10.6589946498968,11.2161524075153,11.5721420140662,11.7432774625937,11.5169474162514,10.8909002004943,11.0081422337726,11.8874881735189
"K00027",9.09375508622728,9.32957841088613,11.1994766540336,12.9108636931907,9.08177682958403,8.98945981991625,9.2941684412941,9.43801460286972,9.36938436978493,8.29643836900968,9.15856366731103,9.36198742280543,10.3110133813575,9.63515472622688,9.17965531712499,9.16971197489217,9.31553823897885,10.5532944450179,9.62129044205731,8.94706443012645,9.02405679388039,9.67878422427885,10.1568906863724,9.99078930289221,9.34062588263589,9.21649882811183,9.72188268600706,9.93073487483008,9.03681965648014,9.56507679631916,9.12490624159006,10.7435416525828,10.9881815456631,9.00868192461799,9.37047175510245,9.48040228056256,10.6791230606695,10.8551201111973,9.32027627737763
