Mass,C,H,O,N,S,P,NeutralMass,Error_ppm,MolecularFormula,El_comp,Class,OC,HC,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,X0h100pctP08a_26_1_11402,X0h100pctP14a_4_1_11374,X0h100pctP16b_8_1_11378,X0h50pctP09b_15_1_11389,X0h50pctP10b_40_1_11420,X0h50pctP13b_25_1_11401,X168h100pctP08a.DI_x_x_000001,X168h100pctP08a_17_1_11391,X168h100pctP14a_10_1_11380,X168h100pctP16a_34_1_11412,X168h50pctP09a_18_1_11392,X168h50pctP10a_37_1_11415,X168h50pctP13a_6_1_11376,X24h100pctP08a_21_1_11397,X24h100pctP14a_33_1_11411,X24h100pctP16a_5_1_11375,X24h50pctP09a_22_1_11398,X24h50pctP10a_30_1_11408,X24h50pctP13a_3_1_11373,X3h100pctP08a_38_1_11416,X3h100pctP14a_36_1_11414,X3h100pctP16a_24_1_11400,X3h50pctP09a_19_1_11395,X3h50pctP10a_1_1_11371,X3h50pctP13a_9_1_11379,X48h100pctP08a_13_1_11385,X48h100pctP14a.DI_x_x_000001,X48h100pctP14a_27_1_11403,X48h100pctP16a_32_1_11410,X48h50pctP09a_14_1_11386,X48h50pctP10a_20_1_11396,X48h50pctP13a_35_1_11413,X72h100pctP08a_16_1_11390,X72h100pctP14a_12_1_11384,X72h100pctP16a_11_1_11383,X72h50pctP09a_23_1_11399
530.2759458,29.0,41.0,8.0,1.0,0.0,0.0,531.2832223,-0.00935899,C29H41O8N,CHON,Lignin,0.27586206896551724,1.4137931034482758,-0.7586206896551726,81.92068965517242,10.0,2.0,0.05,0.20833333333333334,,4107979.0,4447657.0,4620883.0,5175751.0,6046759.0,6486635.0,4161192.0,6140079.0,6764577.0,4097976.0,7912741.0,8823109.0,3931285.0,5895011.0,5062344.0,4232666.0,5832743.0,9136629.0,4069781.0,7483176.0,7391239.0,3518609.0,3528461.0,6210838.0,3554455.0,8166896.0,4353971.0,4146887.0,3339406.0,12351454.0,3432546.0,4107241.0,4227088.0,3951950.0,5394508.0,6390064.0
530.2970608,26.0,45.0,10.0,1.0,0.0,0.0,531.3043373,0.017625861,C26H45O10N,CHON,Protein,0.38461538461538464,1.7307692307692308,-0.8461538461538458,84.4153846153846,5.0,-5.0,-0.4,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,2521711.0,0.0,0.0,0.0,0.0,2936104.0,0.0,0.0,0.0,0.0,0.0,2662442.0,2353657.0,0.0,2383657.0,0.0,0.0,2901775.0,2594072.0,0.0,0.0,0.0,0.0,0.0,2701281.0,0.0,0.0,0.0,0.0,0.0,0.0
531.0568881,27.0,16.0,12.0,0.0,0.0,0.0,532.0641646,0.021398255,C27H16O12,CHO,Cond. HC,0.4444444444444444,0.5925925925925926,0.2962962962962963,51.855555555555554,20.0,8.0,0.5333333333333333,0.6666666666666666,8.0,0.0,3128798.0,2958018.0,2869721.0,5211270.0,3853050.0,2154313.0,2830625.0,3012716.0,3844131.0,6380942.0,3391935.0,2886877.0,3826617.0,3055415.0,4199941.0,4333727.0,3738241.0,3660248.0,3247967.0,3414133.0,3973361.0,5588839.0,4302182.0,2309368.0,3980870.0,4108342.0,3036996.0,3122381.0,3741759.0,0.0,2858031.0,2203756.0,4582757.0,4657310.0,2896235.0
531.0932683,28.0,20.0,11.0,0.0,0.0,0.0,532.1005448,0.031377035,C28H20O11,CHO,Cond. HC,0.39285714285714285,0.7142857142857143,0.07142857142857162,58.264285714285705,19.0,8.0,0.47058823529411764,0.6,8.0,0.0,3440097.0,3048135.0,4315610.0,6153355.0,6175489.0,2473809.0,2638118.0,3025007.0,3315752.0,9338259.0,4194756.0,3722465.0,4068285.0,2895676.0,3171847.0,5726373.0,3533447.0,3348956.0,4304738.0,3500154.0,2851061.0,6809451.0,4408682.0,3206397.0,3538506.0,3260476.0,4532042.0,4351184.0,4806724.0,2289847.0,3255346.0,2797681.0,3476838.0,4534434.0,5071214.0
531.1143907,25.0,24.0,13.0,0.0,0.0,0.0,532.1216671,0.04458729,C25H24O13,CHO,Lignin,0.52,0.96,0.08000000000000007,58.019999999999996,14.0,,0.08333333333333333,0.40540540540540543,,2801501.0,0.0,5006026.0,2886106.0,3380365.0,4102916.0,0.0,0.0,2484337.0,0.0,0.0,0.0,2600163.0,0.0,2989887.0,0.0,3694760.0,5974667.0,2472413.0,2309987.0,3451005.0,2519288.0,5416813.0,3048812.0,0.0,2633293.0,2523200.0,0.0,0.0,2881606.0,0.0,0.0,2334835.0,2321767.0,0.0,3039600.0
531.1296624,29.0,24.0,10.0,0.0,0.0,0.0,532.1369388,0.015310466,C29H24O10,CHO,Lignin,0.3448275862068966,0.8275862068965517,-0.1379310344827589,64.23103448275863,18.0,8.0,0.42105263157894735,0.5416666666666666,8.0,0.0,0.0,2745036.0,2302426.0,2991247.0,4119303.0,0.0,0.0,2713715.0,0.0,3546520.0,2421194.0,4254948.0,3417025.0,0.0,2323977.0,3203242.0,3091086.0,2509279.0,3120996.0,2586751.0,2130170.0,3647343.0,4171118.0,3931393.0,0.0,0.0,3057487.0,2135251.0,3840072.0,0.0,0.0,0.0,2223463.0,2568358.0,3785073.0
531.1507963,26.0,28.0,12.0,0.0,0.0,0.0,532.1580728,0.006734466,C26H28O12,CHO,Lignin,0.46153846153846156,1.0769230769230769,-0.1538461538461542,64.6846153846154,13.0,,0.07142857142857142,0.35,,5025635.0,2620900.0,6849231.0,5790171.0,5989522.0,5782283.0,0.0,2355503.0,2381941.0,2717743.0,3956122.0,3981773.0,4869350.0,3986371.0,4439877.0,3114506.0,5284013.0,6392466.0,5118433.0,4067174.0,8267906.0,3604732.0,7227250.0,5727600.0,2452740.0,3763793.0,2474054.0,3172179.0,3130581.0,3889227.0,5476541.0,0.0,2699383.0,3198312.0,2609320.0,3375475.0
531.1566564,19.0,32.0,17.0,0.0,0.0,0.0,532.1639329,0.031441346,C19H32O17,CHO,Carbohydrate,0.8947368421052632,1.6842105263157894,0.10526315789473673,57.3,4.0,-13.0,-6.5,0.0,-13.0,63237988.0,46456292.0,37872336.0,31119834.0,43705492.0,44301068.0,18300766.0,17453360.0,17717366.0,18008112.0,30932380.0,25846222.0,21187814.0,29455300.0,21946182.0,17749514.0,39780528.0,31648402.0,20535776.0,30338918.0,26568834.0,19415294.0,25782130.0,30074224.0,18275588.0,26631762.0,21319750.0,19916628.0,23315668.0,33290316.0,18469054.0,21875768.0,15876216.0,20237672.0,30134440.0,30925172.0
531.1660473,30.0,28.0,9.0,0.0,0.0,0.0,532.1733237,0.016469162,C30H28O9,CHO,Lignin,0.3,0.9333333333333333,-0.33333333333333304,69.79999999999998,17.0,8.0,0.38095238095238093,0.49019607843137253,8.0,0.0,0.0,3535569.0,0.0,2411668.0,0.0,0.0,0.0,4057206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2517474.0,2301799.0,0.0,0.0,3266419.0,2311537.0,0.0,0.0,0.0,0.0,2962646.0,0.0,0.0,0.0,0.0,0.0,0.0,2318708.0
531.1719229,23.0,32.0,14.0,0.0,0.0,0.0,532.1791994,0.011921349,C23H32O14,CHO,Lignin,0.6086956521739131,1.391304347826087,-0.17391304347826075,65.25652173913043,8.0,-6.0,-0.6666666666666666,0.0625,-6.0,0.0,0.0,2695890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7086257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
