taxonID	comparisonID	group.code.0	group.code.t	net.r.obs	net.r.boot.mean	net.r.boot.median	net.r.boot.CI.L	net.r.boot.CI.U	net.f.obs	net.f.boot.mean	net.f.boot.median	net.f.boot.CI.L	net.f.boot.CI.U	N.T0.obs.mean	N.T0.boot.mean	N.T0.boot.median	N.T0.boot.CI.L	N.T0.boot.CI.U	N.Tt.obs.mean	N.Tt.boot.mean	N.Tt.boot.median	N.Tt.boot.CI.L	N.Tt.boot.CI.U	message
sip5387	T0.1	t0_16O	t3_16O	-5250572.23433223	-5208335.80392989	-5250572.23433223	-13989095.479223	3513265.05043763	-87509.5372388704	-86805.5967321648	-87509.5372388704	-233151.591320384	58554.4175072939	2134320.53945832	2129212.83138196	2134320.53945832	1083318.79429742	2948164.92147894	1477999.01016679	1478170.85589072	1477999.01016679	808660.329276198	1951863.29503585	none
sip5390	T0.1	t0_16O	t3_16O	6371426.86484667	6324114.49297973	6371426.86484667	-3341267.13619789	17310294.1927087	106190.447747444	105401.908216329	106190.447747444	-55687.7856032982	288504.903211811	1281981.22345509	1282150.49046666	1281981.22345509	625526.22067285	1683286.92352859	2078409.58156092	2072664.80208912	2078409.58156092	1018980.15447327	2988628.22986117	none
sip5393	T0.1	t0_16O	t3_16O	-1917322.43024831	-1977450.45628787	-1917322.43024831	-13497569.6270197	9405483.23860869	-31955.3738374718	-32957.5076047978	-31955.3738374718	-224959.493783662	156758.053976811	8917556.74088244	8916641.18501504	8917556.74088244	8477687.2922571	9340805.26259795	8677891.4371014	8669459.87797906	8677891.4371014	7230360.53750497	9727454.12857895	none
sip5394	T0.1	t0_16O	t3_16O	6265540.0804004	6150397.57815683	6265540.0804004	-19251548.7687717	30247194.1489311	104425.668006673	102506.626302614	104425.668006673	-320859.146146195	504119.902482185	3951244.11863996	3950971.68374041	3951244.11863996	1918845.88457807	7140880.22478648	4734436.62869001	4719771.38101001	4734436.62869001	2555604.27978777	6326690.21527838	none
sip5396	T0.1	t0_16O	t3_16O	-41590851.0095183	-41452623.590202	-41590851.0095183	-58905257.1550733	-17296828.4432706	-693180.850158639	-690877.0598367	-693180.850158639	-981754.285917888	-288280.474054511	6346792.02347951	6330258.37132314	6346792.02347951	3112167.31785241	8502725.97253913	1147935.64728972	1148680.42254788	1147935.64728972	581871.250555484	1515383.53058851	none
sip5397	T0.1	t0_16O	t3_16O	-1728428.98761354	-1629359.63731206	-1728428.98761354	-10338136.5731405	7680711.00299913	-28807.1497935591	-27155.993955201	-28807.1497935591	-172302.276219008	128011.850049985	1126308.88736011	1122137.20152248	1126308.88736011	465102.486591888	1686219.5020596	910255.263908419	918467.246858477	910255.263908419	241080.820873454	2187693.54880374	none
sip5398	T0.1	t0_16O	t3_16O	12924189.5805584	13066444.4444428	12924189.5805584	-3912377.48393418	32196424.8950708	215403.159675974	217774.074074047	215403.159675974	-65206.2913989031	536607.081584514	570719.267366099	569577.828831367	570719.267366099	0	1712157.8020983	2186242.9649359	2202883.38438672	2186242.9649359	0	4595272.37924995	Warning: no occurrences in rep rA_t0_16O & rB_t0_16O (t0_16O) and rep rA_t3_16O (t3_16O)
sip5399	T0.1	t0_16O	t3_16O	-3076077.52182492	-3071073.09118994	-3076077.52182492	-19092631.2962158	12940476.2525659	-51267.958697082	-51184.5515198323	-51267.958697082	-318210.521603596	215674.604209432	2985441.71247055	2981458.64733691	2985441.71247055	1704017.00262896	4939627.25474208	2600932.02224244	2597574.51093817	2600932.02224244	1580464.85490168	3524464.49333692	none
sip5400	T0.1	t0_16O	t3_16O	-10833017.3195061	-10950001.932399	-10833017.3195061	-32819883.981488	15627236.8387329	-180550.288658435	-182500.03220665	-180550.288658435	-546998.066358133	260453.947312215	5787102.18159502	5800653.31181799	5787102.18159502	2754838.91083065	7324938.70054704	4432975.01665675	4431903.07026811	4432975.01665675	3193513.35810126	6231610.11224439	none
sip5402	T0.1	t0_16O	t3_16O	-33516171.043765	-32969086.2934971	-33516171.043765	-80838250.9047584	18599731.1441871	-558602.850729417	-549484.771558284	-558602.850729417	-1347304.18174597	309995.519069785	6514487.77349402	6476326.74281982	6514487.77349402	0	10770880.7688023	2324966.39302339	2355190.95613269	2324966.39302339	0	6974899.17907016	Warning: no occurrences in rep rA_t0_16O (t0_16O) and rep rA_t3_16O & rB_t3_16O (t3_16O)
