taxonID	comparisonID	trt.code.1	trt.code.2	ape.obs	ape.boot.mean	ape.boot.median	ape.boot.CI.L	ape.boot.CI.U	b.obs	b.boot.mean	b.boot.median	b.boot.CI.L	b.boot.CI.U	f.gross.obs	f.gross.boot.mean	f.gross.boot.median	f.gross.boot.CI.L	f.gross.boot.CI.U	message	comparisonID.pop	group.code.0	group.code.t	r.net.obs	r.net.boot.mean	r.net.boot.median	r.net.boot.CI.L	r.net.boot.CI.U	f.net.obs	f.net.boot.mean	f.net.boot.median	f.net.boot.CI.L	f.net.boot.CI.U	N.tot.T0.obs.mean	N.tot.T0.boot.mean	N.tot.T0.boot.median	N.tot.T0.boot.CI.L	N.tot.T0.boot.CI.U	N.tot.Tt.obs.mean	N.tot.Tt.boot.mean	N.tot.Tt.boot.median	N.tot.Tt.boot.CI.L	N.tot.Tt.boot.CI.U	message.pop	d.obs	d.boot.mean	d.boot.median	d.boot.CI.L	d.boot.CI.U	f.death.obs	f.death.boot.mean	f.death.boot.median	f.death.boot.CI.L	f.death.boot.CI.U	N.light.Tt.obs	N.light.Tt.boot.mean	N.light.Tt.boot.median	N.light.Tt.boot.CI.L	N.light.Tt.boot.CI.U
sip5577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	-14194.9815242328	-14309.778553822	-14194.9815242328	-169949.728254035	141559.76520557	-236.58302540388	-238.496309230366	-236.58302540388	-2832.49547090059	2359.32942009283	427003.297535063	424784.492992283	427003.297535063	19820.1622170393	773223.477456465	370223.371438131	367545.378776995	370223.371438131	22.8653622096242	830419.286355634	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5579	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	-45115.5556729828	-45619.1719713046	-45115.5556729828	-326763.054432105	236531.943086139	-751.925927883047	-760.319532855076	-751.925927883047	-5446.05090720175	3942.19905143566	1244413.01201254	1248747.20320871	1244413.01201254	35.8729534933877	1902341.43487888	1063950.78932061	1066270.51532349	1063950.78932061	280227.96259655	1686212.67910698	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5580	NA	NA	NA	NA	NA	NA	NA	NA	2960.45451543477	3598.73039584273	3438.5416754853	-6896.09191405143	13563.3241173879	49.3409085905795	59.9788399307121	57.3090279247551	-114.93486523419	226.055401956465	NA	T0.19	t72_18O	t168_18O	-13856.6130396208	-14807.1140950282	-13856.6130396209	-128856.594415346	90839.9846794311	-230.943550660347	-246.785234917137	-230.943550660348	-2147.60990692243	1513.99974465718	338980.267606119	342090.815202806	338980.267606119	30421.4437328904	805978.396408439	283553.815447635	282862.358822693	283553.815447635	82072.8741699182	562875.094122993	none	-16817.0675550556	-18405.844490871	-17909.5726197642	-130057.735321125	86614.1543377861	-280.284459250927	-306.764074847849	-298.49287699607	-2167.62892201875	1443.5692389631	NA	NA	NA	NA	NA
sip5581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	-197021.971628169	-196364.373606675	-197021.971628169	-272008.459596204	-102021.00699537	-3283.69952713614	-3272.73956011126	-3283.69952713614	-4533.4743266034	-1700.35011658949	1003933.3728129	1003676.79197913	1003933.3728129	919789.159736813	1140177.7319773	215845.486300222	218219.297552427	215845.486300222	42.8725540531373	647448.088942223	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	-33263.1651113195	-35526.7235418943	-33263.1651113195	-286743.166010435	245549.357019463	-554.386085188657	-592.112059031571	-554.386085188657	-4779.05276684059	4092.48928365771	1374815.00790533	1381495.34539374	1374815.00790533	35.8729534933877	2259074.7334812	1241762.34746005	1239388.45122616	1241762.34746005	775068.39362641	1557789.54388809	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5583	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	-404039.094606995	-405666.815689817	-404039.094606995	-793910.848752921	73068.0776186401	-6733.98491011658	-6761.11359483028	-6733.98491011658	-13231.8474792153	1217.801293644	2104782.37309186	2110315.99835645	2104782.37309186	196346.140175262	3175673.80438795	488625.994663882	487648.73559718	488625.994663882	22.8653622096242	1465809.62122505	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5584	NA	NA	NA	NA	NA	NA	NA	NA	4940.75256096498	5709.70135731097	5091.41252481134	-9101.63852717757	24762.3780878538	82.3458760160831	95.1616892885162	84.8568754135223	-151.69397545296	412.70630146423	NA	T0.19	t72_18O	t168_18O	-136010.473199024	-136467.799356227	-136010.473199024	-355097.863852991	83939.4538503717	-2266.84121998374	-2274.46332260378	-2266.84121998374	-5918.29773088319	1398.99089750619	1298206.77942715	1298293.40777827	1298206.77942715	391602.165050284	1948164.09252564	754164.886631048	752422.210353364	754164.886631048	500967.730934396	1180144.47948652	none	-140951.225759989	-142177.500713538	-141683.091350265	-361575.416656584	82728.1112718151	-2349.18709599982	-2369.6250118923	-2361.38485583775	-6026.2569442764	1378.80185453026	NA	NA	NA	NA	NA
sip5585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	166040.283352478	166524.573663382	166040.283352478	-38492.3336568802	370572.900361835	2767.33805587463	2775.40956105636	2767.33805587463	-641.538894281337	6176.21500603059	622138.093583343	622073.142068833	622138.093583343	233947.626184643	1164628.85725151	1286299.22699325	1288171.43672236	1286299.22699325	538900.306585677	1828720.30850187	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5587	NA	NA	NA	NA	NA	NA	NA	NA	-24533.9424912023	-24700.0834434934	-24552.1698467228	-46367.5502159134	-3383.7473935733	-408.899041520039	-411.668057391556	-409.202830778714	-772.792503598557	-56.3957898928884	NA	T0.19	t72_18O	t168_18O	-133449.55723648	-135079.080074583	-133449.55723648	-336499.764177064	116487.882274383	-2224.15928727467	-2251.31800124304	-2224.15928727467	-5608.32940295107	1941.46470457304	1402942.48761	1409060.77861526	1402942.48761	342651.360953392	2245942.46737738	869144.25866408	868744.45831693	869144.25866408	777041.117107206	960953.085762683	none	-108915.614745278	-110378.996631089	-111182.433520291	-305412.496471174	144888.999621395	-1815.26024575463	-1839.64994385149	-1853.04055867152	-5090.20827451957	2414.81666035659	NA	NA	NA	NA	NA
