taxon	tube	Replicate	Hour	Isotope	unique.tube	unique.tmt	copies.ul	t.copies.ul	code
sip3	1	rB	t0	16O	rB_t0_16O	t0_16O	7.41e+08	5476250.805	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rC	t0	16O	rC_t0_16O	t0_16O	1061780000	4914736.4418	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rA	t168	16O	rA_t168_16O	t168_16O	889672000	4644626.50812	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rB	t168	16O	rB_t168_16O	t168_16O	815530000	4769379.68002	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rC	t168	16O	rC_t168_16O	t168_16O	1057330000	4662772.0995	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rA	t24	16O	rA_t24_16O	t24_16O	823660000	4727605.93456	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rB	t24	16O	rB_t24_16O	t24_16O	703110000	4137513.95612	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rC	t24	16O	rC_t24_16O	t24_16O	1813460000	7365762.03756	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rA	t3	16O	rA_t3_16O	t3_16O	1450280000	8247837.75304	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rB	t3	16O	rB_t3_16O	t3_16O	924740000	6169867.209	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rC	t3	16O	rC_t3_16O	t3_16O	708970000	3289200.26373	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rA	t48	16O	rA_t48_16O	t48_16O	1047520000	5969020.91976	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rB	t48	16O	rB_t48_16O	t48_16O	946920000	6180458.70404	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rC	t48	16O	rC_t48_16O	t48_16O	665988000	2340937.40116	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rA	t72	16O	rA_t72_16O	t72_16O	761340000	4846450.41573	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rB	t72	16O	rB_t72_16O	t72_16O	864880000	5154257.21952	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rC	t72	16O	rC_t72_16O	t72_16O	901640000	4269346.75308	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rA	t168	18O	rA_t168_18O	t168_18O	1.161e+09	5425058.245	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rB	t168	18O	rB_t168_18O	t168_18O	1099500000	4894176.7745	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rC	t168	18O	rC_t168_18O	t168_18O	1.102e+09	4771390.25	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rA	t24	18O	rA_t24_18O	t24_18O	542100000	2531822.6327	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rB	t24	18O	rB_t24_18O	t24_18O	1093120000	8086648.78844	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rC	t24	18O	rC_t24_18O	t24_18O	1168400000	5586265.1438	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
sip3	1	rA	t3	18O	rA_t3_18O	t3_18O	862900000	3914767.9778	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
