taxonID	comparisonID	group.code.0	group.code.t	net.r.obs	net.r.boot.mean	net.r.boot.median	net.r.boot.CI.L	net.r.boot.CI.U	net.f.obs	net.f.boot.mean	net.f.boot.median	net.f.boot.CI.L	net.f.boot.CI.U	N.T0.obs.mean	N.T0.boot.mean	N.T0.boot.median	N.T0.boot.CI.L	N.T0.boot.CI.U	N.Tt.obs.mean	N.Tt.boot.mean	N.Tt.boot.median	N.Tt.boot.CI.L	N.Tt.boot.CI.U	message
sip19	T0.17	t24_18O	t48_18O	5854907.01848278	5918286.29684708	5854907.01848278	-363453.435519575	12346939.5972479	97581.7836413796	98638.1049474514	97581.7836413796	-6057.55725865959	205782.326620798	8493423.1455204	8459986.75421033	8493423.1455204	2325899.52995825	11785037.1999567	14348330.1640032	14378273.0510574	14348330.1640032	8316555.49529529	18333515.5615921	none
sip20	T0.17	t24_18O	t48_18O	8572043.42987536	8675268.65912247	8572043.42987536	-282876.168683957	18240705.8622989	142867.390497923	144587.810985375	142867.390497923	-4714.60281139928	304011.764371648	11160301.0069266	11121288.876004	11160301.0069266	3804990.67405259	15455988.7054124	19732344.436802	19796557.5351264	19732344.436802	11748976.9825937	29103966.2485043	none
sip22	T0.17	t24_18O	t48_18O	1563075.63722846	1582077.36721523	1563075.63722846	-5091102.15931027	8207341.77903017	26051.2606204743	26367.9561202538	26051.2606204743	-84851.7026551712	136789.029650503	10276861.2880826	10272475.9232356	10276861.2880826	5494043.87681088	18647049.1931918	11839936.925311	11854553.2904508	11839936.925311	9570094.2342326	14518173.5769378	none
sip23	T0.17	t24_18O	t48_18O	598461.308715359	610035.142220427	598461.308715359	-2384192.68497557	3445479.91835734	9974.35514525599	10167.2523703405	9974.35514525599	-39736.5447495929	57424.6653059556	1958872.17933695	1943975.32157485	1958872.17933695	28.5817027449049	4705387.39606022	2557333.48805231	2554010.46379527	2557333.48805231	1042629.03956183	3835899.15957513	none
sip25	T0.17	t24_18O	t48_18O	-1034007.53998393	-965454.147708884	-1034007.53998393	-18955728.2656216	16887713.1856537	-17233.4589997322	-16090.9024618147	-17233.4589997322	-315928.804427027	281461.886427562	21863081.762475	21766306.9500563	21863081.762475	6197044.73420249	34243932.6037228	20829074.2224911	20800852.8023474	20829074.2224911	11129979.9378261	29401832.3249553	none
sip26	T0.17	t24_18O	t48_18O	10563775.5560067	10638963.9239172	10563775.5560067	-81905.7550234795	19478900.3817279	176062.925933444	177316.065398619	176062.925933444	-1365.09591705799	324648.339695464	11029564.1710913	10987376.5591328	11029564.1710913	5001708.28670664	17915379.7965734	21593339.7270979	21626340.48305	21593339.7270979	12670957.1304968	26203907.3828635	none
sip29	T0.17	t24_18O	t48_18O	9670336.19584042	9845140.63763786	9670336.19584042	-4783547.61447151	27921580.5511243	161172.269930674	164085.677293964	161172.269930674	-79725.7935745252	465359.675852071	16060651.6161629	16005985.3758637	16060651.6161629	6042615.60609563	21255222.9452377	25730987.8120034	25851126.0135015	25730987.8120034	15100252.4455312	43982232.1672872	none
sip30	T0.17	t24_18O	t48_18O	13463812.771567	13667284.3107823	13463812.771567	-3470030.43037264	35193539.4515374	224396.879526117	227788.071846371	224396.879526117	-57833.8405062107	586558.990858957	13357564.5177855	13310274.1760054	13357564.5177855	3428082.7590387	21460223.0655869	26821377.2893525	26977558.4867876	26821377.2893525	11979479.1996982	50377927.1802682	none
sip36	T0.17	t24_18O	t48_18O	11084746.5607344	11250336.4598405	11084746.5607344	-3199537.68579247	28278393.8077797	184745.776012239	187505.607664008	184745.776012239	-53325.6280965412	471306.563462995	13349642.3560958	13307967.5643977	13349642.3560958	5211389.20068385	18741169.2152116	24434388.9168302	24558304.0242381	24434388.9168302	14139997.9818497	43784173.943444	none
sip38	T0.17	t24_18O	t48_18O	6183700.2589723	6329658.08880821	6183700.2589723	-9439400.53822882	20741824.2670356	103061.670982872	105494.301480137	103061.670982872	-157323.342303814	345697.071117261	22232433.4891259	22148212.4884512	22232433.4891259	7803679.6953033	31530891.018358	28416133.7480982	28477870.5772594	28416133.7480982	14909948.5185151	36454574.4033572	none
sip41	T0.17	t24_18O	t48_18O	-12307.5137092839	-17532.0426073011	-12307.5137092839	-1181117.1750717	1156502.14765314	-205.125228488065	-292.200710121684	-205.125228488065	-19685.2862511951	19275.0357942189	1099723.58821234	1097428.07640537	1099723.58821234	445878.498793261	1869049.66738028	1087416.07450306	1079896.03379807	1087416.07450306	59.4966056083926	2083317.31210585	none
sip46	T0.17	t24_18O	t48_18O	4086532.54021304	4163665.65715935	4086532.54021304	-3339831.86326927	11634855.5579469	68108.8756702174	69394.4276193225	68108.8756702174	-55663.8643878212	193914.259299115	7926953.21771094	7889086.44187762	7926953.21771094	1704398.86527728	12599399.0631819	12013485.757924	12052752.099037	12013485.757924	5179879.97660111	17418941.6465357	none
sip47	T0.17	t24_18O	t48_18O	4042779.00152335	4143597.61131243	4042779.00152335	-5543004.34090235	13690896.6351428	67379.6500253891	69059.9601885405	67379.6500253891	-92383.4056817058	228181.610585713	8630300.64628411	8589031.43663803	8630300.64628411	1106723.28654326	12439431.8257953	12673079.6478075	12732629.0479505	12673079.6478075	3448986.44248015	21060630.8040863	none
sip48	T0.17	t24_18O	t48_18O	5057207.68228739	5183576.48847239	5057207.68228739	-7023718.2209383	18602775.2412806	84286.7947047898	86392.9414745398	84286.7947047898	-117061.970348972	310046.254021343	17706149.9800221	17640666.5026278	17706149.9800221	4794190.88246019	26533114.2326595	22763357.6623095	22824242.9911002	22763357.6623095	12263088.2283215	31160867.5551017	none
sip49	T0.17	t24_18O	t48_18O	824885.32472029	878843.336354556	824885.32472029	-6069051.05006671	8688190.72947773	13748.0887453382	14647.3889392426	13748.0887453382	-101150.850834445	144803.178824629	10454076.0649452	10403259.9197379	10454076.0649452	1506410.58466817	15615330.9761416	11278961.3896655	11282103.2560924	11278961.3896655	8003638.40318339	13469924.300628	none
