Metabolism,Shared,Shared2,KO,Name
,nadh reductase,"NADH dehydr, 1 beta subcompl",k03962,NDUFB6; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 6
,nadh reductase,"NADH dehydr, 1 beta subcompl",k03963,NDUFB7; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 7
,nadh reductase,"NADH dehydr, 1 beta subcompl",k03964,NDUFB8; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 8
,nadh reductase,"NADH dehydr, 1 beta subcompl",k03965,NDUFB9; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 9
,nadh reductase,"NADH dehydr, 1 beta subcompl",k03966,NDUFB10; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 10
,nadh reductase,"NADH dehydr, 1 beta subcompl",k11351,NDUFB11; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 11
,nadh reductase,"NADH dehydr, 1 beta subcompl",k03967,NDUFC1; NADH dehydrogenase (ubiquinone) 1 subunit C1
,nadh reductase,"NADH dehydr, 1 beta subcompl",k03968,NDUFC2; NADH dehydrogenase (ubiquinone) 1 subunit C2
,nadh reductase,other red,k03885,ndh; NADH dehydrogenase [EC:1.6.99.3]
,succinate dehydrogenase/fumarate reductase,euk,k00234,"SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]"
,succinate dehydrogenase/fumarate reductase,euk,k00235,"SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]"
,succinate dehydrogenase/fumarate reductase,euk,k00236,"SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit"
,succinate dehydrogenase/fumarate reductase,euk,k00237,"SDHD, SDH4; succinate dehydrogenase (ubiquinone) membrane anchor subunit"
,,euk,k25801,
,,bac/arch,k00233,
,succinate dehydrogenase/fumarate reductase,bac/arch,k00239,"sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
,succinate dehydrogenase/fumarate reductase,bac/arch,k00240,"sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
,succinate dehydrogenase/fumarate reductase,bac/arch,k00241,"sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit"
,succinate dehydrogenase/fumarate reductase,bac/arch,k00242,"sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit"
,succinate dehydrogenase/fumarate reductase,bac/arch,k00244,frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]
,succinate dehydrogenase/fumarate reductase,bac/arch,k00245,frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]
,succinate dehydrogenase/fumarate reductase,bac/arch,k00246,frdC; fumarate reductase subunit C
,succinate dehydrogenase/fumarate reductase,bac/arch,k00247,frdD; fumarate reductase subunit D
,succinate dehydrogenase/fumarate reductase,bac/arch,k18859,"sdhD, frdD; succinate dehydrogenase / fumarate reductase, subunit D"
,succinate dehydrogenase/fumarate reductase,bac/arch,k18860,"sdhD, frdD; putative succinate dehydrogenase / fumarate reductase, subunit D"
,succinate dehydrogenase/fumarate reductase,bac/arch,k25995,
,succinate dehydrogenase/fumarate reductase,bac/arch,k25996,
,cyt C reduc,euk/bac/arch,k00410,fbcH; ubiquinol-cytochrome c reductase cytochrome b/c1 subunit
,cyt C reduc,euk/bac/arch,k00411,"UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]"
,cyt C reduc,euk/bac/arch,k00412,"CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit"
,cyt C reduc,euk/bac/arch,k00413,"CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit"
,,euk,k00414,"QCR1, UQCRC1; ubiquinol-cytochrome c reductase core subunit 1"
,cyt C reduc,euk,k00415,"QCR2, UQCRC2; ubiquinol-cytochrome c reductase core subunit 2"
,cyt C reduc,euk,k00416,"QCR6, UQCRH; ubiquinol-cytochrome c reductase subunit 6"
,cyt C reduc,euk,k00417,"QCR7, UQCRB; ubiquinol-cytochrome c reductase subunit 7"
,cyt C reduc,euk,k00418,"QCR8, UQCRQ; ubiquinol-cytochrome c reductase subunit 8"
,cyt C reduc,euk,k00419,"QCR9, UCRC; ubiquinol-cytochrome c reductase subunit 9"
,cyt C reduc,euk,k00420,"QCR10, UQCR; ubiquinol-cytochrome c reductase subunit 10"
,cyt C reduc,euk/bac/arch,k03886,"MQCRA, qcrA, bfcA, petC; menaquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.-]"
,cyt C reduc,euk/bac/arch,k03887,"MQCRB, qcrB, bfcB, petB; menaquinol-cytochrome c reductase cytochrome b subunit"
,cyt C reduc,euk/bac/arch,k03888,"MQCRC, qcrC, bfcC, petD; menaquinol-cytochrome c reductase cytochrome b/c subunit"
,cyt C reduc,euk/bac/arch,k03889,qcrC; ubiquinol-cytochrome c reductase cytochrome c subunit
,cyt C reduc,euk/bac/arch,k03890,qcrA; ubiquinol-cytochrome c reductase iron-sulfur subunit
,cyt C reduc,euk/bac/arch,k03891,qcrB; ubiquinol-cytochrome c reductase cytochrome b subunit
,cyt c ox,euk/bac/arch,k02257,"COX10, ctaB, cyoE; heme o synthase [EC:2.5.1.141]"
,cyt c ox,euk,k02262,COX3; cytochrome c oxidase subunit 3
,cyt c ox,euk,k02256,COX1; cytochrome c oxidase subunit 1 [EC:7.1.1.9]
,cyt c ox,euk,k02261,COX2; cytochrome c oxidase subunit 2
,cyt c ox,euk,k02263,COX4; cytochrome c oxidase subunit 4
,cyt c ox,euk,k02264,COX5A; cytochrome c oxidase subunit 5a
,cyt c ox,euk,k02265,COX5B; cytochrome c oxidase subunit 5b
,cyt c ox,euk,k02266,COX6A; cytochrome c oxidase subunit 6a
,cyt c ox,euk,k02267,COX6B; cytochrome c oxidase subunit 6b
,cyt c ox,euk,k02268,COX6C; cytochrome c oxidase subunit 6c
,cyt c ox,euk,k02269,COX7; cytochrome c oxidase subunit 7
,cyt c ox,euk,k02270,COX7A; cytochrome c oxidase subunit 7a
,cyt c ox,euk,k02271,COX7B; cytochrome c oxidase subunit 7b
,cyt c ox,euk,k02272,COX7C; cytochrome c oxidase subunit 7c
,cyt c ox,euk,k02273,COX8; cytochrome c oxidase subunit 8
,cyt c ox,euk/bac/arch,k02258,"COX11, ctaG; cytochrome c oxidase assembly protein subunit 11"
