"","genus","time_moisture","b.boot.median","d.boot.median"
"158","g_Nitrospira","x100_t48",165873.221456643,-452974.446808772
"159","g_Nitrospira","x100_t72",73082.3990504106,-158049.148067879
"160","g_Nocardioides","x100_t168",610997.767306837,-1092460.92204506
"161","g_Nocardioides","x100_t24",63578.3100591181,-131227.803924663
"162","g_Nocardioides","x100_t3",5141767.84573645,-37361396.9594234
"163","g_Nocardioides","x100_t48",1723613.93545042,-2062405.87954575
"164","g_Nocardioides","x100_t72",1272563.66175673,-1165896.51244223
"165","g_Nocardioides","x50_t168",378110.735294317,-43402.5982494028
"166","g_Opitutus","x100_t168",1699883.8286949,-1528745.3588733
"167","g_Opitutus","x100_t24",382451.906603882,-1001839.51232457
"168","g_Opitutus","x100_t3",14278107.4864246,-65520026.1658491
"169","g_Opitutus","x100_t48",3132334.62177956,-1951601.64311323
"170","g_Opitutus","x100_t72",2752666.80574171,-1413060.64485263
"171","g_Opitutus","x50_t48",677512.866367861,-246022.91821664
"172","g_Paenibacillus","x100_t3",5456714.71022071,-3191313.29600703
"173","g_Paenibacillus","x100_t48",4048216.30436743,-97567.3951465096
"174","g_Pedomicrobium","x100_t24",133199.130900138,-1740974.26767869
"175","g_Pedomicrobium","x100_t48",53944.1334033449,-846760.72303622
"176","g_Phenylobacterium","x100_t168",540765.569846954,-307470.333561607
"177","g_Phenylobacterium","x100_t24",1217639.44769895,-136798.72748651
"178","g_Phenylobacterium","x100_t3",6867740.79054831,-32671193.7823626
"179","g_Phenylobacterium","x100_t48",1554913.15431544,-1499.77680080989
"180","g_Phenylobacterium","x100_t72",747652.63700364,-658931.20292279
"181","g_Porphyromonas","x100_t168",176910.903497462,-25840.6667114615
"182","g_Porphyromonas","x100_t3",2715865.70740109,-9674931.88042086
"183","g_Porphyromonas","x100_t48",296216.121938601,-373824.437288505
"184","g_Porphyromonas","x100_t72",225006.883223873,-988.826776673988
"185","g_Povalibacter","x100_t24",415070.343786946,-318596.027205584
"186","g_Povalibacter","x100_t48",326085.135039096,-528634.392450476
"187","g_Pseudomonas","x100_t48",364932.984555829,-450568.20376433
"188","g_Pseudonocardia","x100_t168",79984.7351713052,-2321947.53196143
"189","g_Pseudonocardia","x100_t24",712397.692628466,-7982194.59053298
"190","g_Pseudonocardia","x100_t3",12505376.2654917,-103260598.393334
"191","g_Pseudonocardia","x100_t48",950304.369061939,-4633462.27211153
"192","g_Pseudonocardia","x50_t168",193811.883743543,-105677.772168871
"193","g_Ramlibacter","x100_t168",3961294.39665648,-166846.64490575
"194","g_Ramlibacter","x100_t3",43784843.8071888,-76228261.680801
